"ICAO","STATE","AIRPORT","YEAR","RANK","TRAFFICTYPE","AIRTRAFFIC_TOTAL","LATITUDE","LONGITUDE","ALTITUDE","STATECODE"
"YPAD","South Australia","ADELAIDE",1985,"4","Domestic",1911747,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1986,"4","Domestic",1978433,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1987,"5","Domestic",2008843,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1988,"4","Domestic",2164251,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1989,"5","Domestic",1735052,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1990,"5","Domestic",2107846,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1991,"5","Domestic",2630016,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1992,"4","Domestic",2729855,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1993,"5","Domestic",2909895,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1994,"5","Domestic",3174750,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1995,"5","Domestic",3419694,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1996,"5","Domestic",3559829,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1997,"5","Domestic",3636402,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1998,"5","Domestic",3789458,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",1999,"5","Domestic",3860910,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2000,"5","Domestic",3963159,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2001,"5","Domestic",4182480,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2002,"5","Domestic",3994310,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2003,"5","Domestic",4384095,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2004,"5","Domestic",4839885,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2005,"5","Domestic",5261677,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2006,"5","Domestic",5592313,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2007,"5","Domestic",5906429,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2008,"5","Domestic",6270369,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2009,"5","Domestic",6340348,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2010,"5","Domestic",6758212,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2011,"5","Domestic",6438334,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2012,"5","Domestic",6416815,-34.945,138.5306,20,"SA"
"YPAD","South Australia","ADELAIDE",2013,"5","Domestic",6574289,-34.945,138.5306,20,"SA"
"YABA","Western Australia","ALBANY",1985,"-","Domestic",12643,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1986,"-","Domestic",14450,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1987,"-","Domestic",15098,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1988,"-","Domestic",15493,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1989,"-","Domestic",14396,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1990,"-","Domestic",14818,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1991,"-","Domestic",14593,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1992,"-","Domestic",15011,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1993,"-","Domestic",16224,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1994,"-","Domestic",18956,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1995,"-","Domestic",24184,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1996,"-","Domestic",29993,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1997,"-","Domestic",32068,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1998,"-","Domestic",34839,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",1999,"-","Domestic",39904,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2000,"-","Domestic",44022,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2001,"-","Domestic",37798,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2002,"-","Domestic",33828,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2003,"-","Domestic",35242,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2004,"-","Domestic",40878,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2005,"-","Domestic",45620,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2006,"56","Domestic",51704,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2007,"58","Domestic",54638,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2008,"59","Domestic",56841,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2009,"59","Domestic",50381,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2010,"55","Domestic",54402,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2011,"59","Domestic",58363,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2012,"58","Domestic",58998,-34.9433,117.809,233,"WA"
"YABA","Western Australia","ALBANY",2013,"57","Domestic",58903,-34.9433,117.809,233,"WA"
"YMAY","New South Wales","ALBURY",1985,"15","Domestic",266373,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1986,"16","Domestic",280048,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1987,"16","Domestic",257681,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1988,"17","Domestic",199365,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1989,"19","Domestic",113611,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1990,"24","Domestic",94099,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1991,"23","Domestic",110046,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1992,"23","Domestic",118378,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1993,"22","Domestic",124959,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1994,"23","Domestic",143271,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1995,"23","Domestic",148510,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1996,"23","Domestic",152090,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1997,"23","Domestic",156625,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1998,"23","Domestic",156786,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",1999,"25","Domestic",157582,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2000,"24","Domestic",167567,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2001,"24","Domestic",144484,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2002,"25","Domestic",124969,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2003,"24","Domestic",141870,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2004,"24","Domestic",176900,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2005,"26","Domestic",190772,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2006,"25","Domestic",204466,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2007,"26","Domestic",220012,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2008,"24","Domestic",278314,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2009,"24","Domestic",282201,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2010,"24","Domestic",291799,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2011,"26","Domestic",280471,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2012,"29","Domestic",276762,-36.0678,146.9581,539,"NSW"
"YMAY","New South Wales","ALBURY",2013,"27","Domestic",259446,-36.0678,146.9581,539,"NSW"
"YBAS","Northern Territory","ALICE SPRINGS",1985,"12","Domestic",493598,-23.8067,133.9022,1789,"NT"
"YBAS","Northern Territory","ALICE SPRINGS",1986,"10","Domestic",598888,-23.8067,133.9022,1789,"NT"
"YBAS","Northern Territory","ALICE SPRINGS",1987,"10","Domestic",689063,-23.8067,133.9022,1789,"NT"
"YBAS","Northern Territory","ALICE SPRINGS",1988,"10","Domestic",730670,-23.8067,133.9022,1789,"NT"
"YBAS","Northern Territory","ALICE SPRINGS",1989,"10","Domestic",501180,-23.8067,133.9022,1789,"NT"
"YBAS","Northern Territory","ALICE SPRINGS",1990,"9","Domestic",658056,-23.8067,133.9022,1789,"NT"
"YBAS","Northern Territory","ALICE SPRINGS",1991,"9","Domestic",712328,-23.8067,133.9022,1789,"NT"
"YBAS","Northern Territory","ALICE SPRINGS",1992,"9","Domestic",740469,-23.8067,133.9022,1789,"NT"
"YBAS","Northern Territory","ALICE SPRINGS",1993,"9","Domestic",855146,-23.8067,133.9022,1789,"NT"
"YBAS","Northern Territory","ALICE SPRINGS",1994,"9","Domestic",933049,-23.8067,133.9022,1789,"NT"
